รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
GO1CKG5NTFUFD250410B,19,950
GO1CKG5NTFUFD250413A,20,1000
GO1CKG5NTFUFD250413B,18,900
GO1CKG5NTFUFD250504,18,900
GO1CKG5NTFUFD250515,21,1050
GO1CKG5NTFUFD250522,17,850
GO1CKG5NTFUFD250527,19,950
GO1CKG5NTFUFD250613,18,900
GO1CKG5NTFUFD250626,18,900
GO1CKG5NTFUFD250903,10,500
GO1CKG5NTFUFD250912,19,950
GO1CKG5NTFUFD250919,13,650
GO1CKG5NTFUFD251007,24,1200
GO1CKG5NTFUFD251016,18,900
GO1CKG5NTFUFD251023,29,1450
GO1CKG5NTFUFD251030,19,950
GO1CKG5NTFUFD251106TR,19,950
GO1CKG5NTFUFD251113TR,19,950
GO1CKG5NTFUFD251114,17,850
GO1CKG5NTFUFD251117,9,450
GO1CKG5NTFUFD251119,19,950
GO1CKG5NTFUFD251120,18,900
GO1CKG5NTFUFD251122,10,500
GO1CKG5NTFUFD251127TR,16,800
GO1CKG5NTFUFD251129A,18,900
GO1CKG5NTFUFD251204,29,1450
GO1CKG5NTFUFD251205,12,600
GO1CKG5NTFUFD251205B-1,12,600
GO1CKG5NTFUFD251210,21,1050
GO1CKG5NTFUFD251218,19,950
GO1CKG5NTFUFD251225,15,750
GO1CKG5NTFUFD251228,28,1400
GO1CKG5NTFUFD251230,19,950
GO1CKG5NTFUFD251231,16,800
GO1CNXKMG3NKMGDR250213,14,700
GO1CNXKMG3NKMGDR250222,22,1100
GO1CNXKMG3NKMGDR250322,28,1400
GO1CNXKMG3NKMGDR251205,19,950
GO1CNXKMG3NKMGDR251226,19,950
GO1CNXKMG3NKMGDR251228,14,700
GO1CNXKMG4NKMGDR250228,14,700
GO1CNXKMG4NKMGDR250307,28,1400
GO1CNXKMG4NKMGDR250314,24,1200
GO1CNXKMG4NKMGDR251210,13,650
GO1CNXKMG4NKMGDR251215,15,750
GO1CNXKMG4NKMGDR251222,19,950
GO1CNXKMG4NKMGDR251224,28,1400
GO1CNXKMG4NKMGDR251231,29,1450
GO1CNXKMG4NKMGMU250321TR,19,950
GO1CNXKMG4NKMGMU250416,19,950
GO1CNXKMG4NKMGMU251010,14,700
GO1CNXKMG4NKMGMU251023,14,700
GO1CNXKMG5NKMGMU250319B,19,950
GO1CNXPEK3NPEKCA250321A,14,700
GO1CNXPEK3NPEKCA250411A,22,1100
GO1CNXPEK3NPEKCA250509,20,1000
GO1CNXPEK3NPEKCA250603,7,350
GO1CNXPEK3NPEKCA251023A,23,1150
GO1CNXPEK3NPEKCA251113A,21,1050
GO1CNXPEK3NPEKCA251230,19,950
GO1CNXPVG4NPVGMU250320A,20,1000
GO1CNXPVG4NPVGMU250411,24,1200
GO1CNXPVG4NPVGMU250507,20,1000
GO1CNXPVG4NPVGMU250510,23,1150
GO1CNXPVG4NPVGMU250619,17,850
GO1CNXPVG4NPVGMU251011,22,1100
GO1CNXPVG4NPVGMU251020,16,800
GO1CNXPVG4NPVGMU251023,19,950
GO1CNXPVG4NPVGMU251204,19,950
GO1CNXPVG4NPVGMU251219,21,1050
GO1CNXPVG4NPVGMU251231,19,950
GO1CNXPVG5NPVGMU250321A,19,950
GO1CNXPVG5NPVGMU250412A,19,950
GO1CNXPVG5NPVGMU251018,16,800
GO1CNXPVG5NPVGMU251209,11,550
GO1CNXTFU3NTFUEU250913,18,900
GO1CNXTFU3NTFUEU250920,19,950
GO1CNXTFU4NTFUEU250520,16,800
GO1CNXTFU4NTFUEU250617,21,1050
GO1CNXTFU4NTFUEU251014,19,950
GO1CNXTFU4NTFUEU251021,19,950
GO1CNXTFU4NTFUEU251111,25,1250
GO1CNXTFU4NTFUEU251125,19,950
GO1CNXTFU4NTFUEU251209,10,500
GO1CNXTFU4NTFUEU251223,17,850
GO1CNXTFU4NTFUEU251230,15,750
GO1CNXTFU5NTFUEU250410,19,950
GO1CNXTFU5NTFUEU250925A,13,650
GO1CNXTFU5NTFUEU251011A,15,750
GO1CNXTFU5NTFUEU251018A,19,950
GO1CNXTFU5NTFUEU251023A,23,1150
GO1CNXTFU5NTFUEU251113A,19,950
GO1CNXTFU5NTFUEU251115B,20,1000
GO1CNXTFU5NTFUEU251120A,19,950
GO1CNXTFU5NTFUEU251122A,20,1000
GO1CNXTFU5NTFUEU251204A,19,950
GO1CNXTFU5NTFUEU251220B,19,950
GO1CNXTFU5NTFUEU251227A,22,1100
GO1CSX4NCSXFD250515,40,2000
GO1CSX4NCSXFD251010,7,350
GO1CSX4NCSXFD251011,25,1250
GO1CSX4NCSXFD251018,19,950
GO1CSX4NCSXFD251023B,19,950
GO1CSX4NCSXVZ250305V,8,400
GO1CSX4NCSXVZ250330V,13,650
GO1CSX4NCSXVZ250404V,12,600
GO1CSX4NCSXVZ250409V,19,950
GO1CSX4NCSXVZ250411V,14,700
GO1CSX4NCSXVZ250413V,15,750
GO1CSX5NCSXSL250107,11,550
GO1CSX5NCSXSL250107C,11,550
GO1CSX5NCSXSL250218C,17,850
GO1CSX5NCSXSL250219,23,1150
GO1CSX5NCSXSL250223,12,600
GO1CSX5NCSXSL250226,7,350
GO1CSX5NCSXSL250228C,19,950
GO1CSX5NCSXSL250303,16,800
GO1CSX5NCSXSL250305C,24,1200
GO1CSX5NCSXSL250307,16,800
GO1CSX5NCSXSL250310C,24,1200
GO1CSX5NCSXSL250312,19,950
GO1CSX5NCSXSL250313,19,950
GO1CSX5NCSXSL250320,17,850
GO1CSX5NCSXSL250321A,23,1150
GO1CSX5NCSXSL250321B,15,750
GO1CSX5NCSXSL250323C,30,1500
GO1CSX5NCSXSL250325,15,750
GO1CSX5NCSXSL250327,21,1050
GO1CSX5NCSXSL250328,19,950
GO1CSX5NCSXSL250330BTR,38,1900
GO1CSX5NCSXSL250404C,11,550
GO1CSX5NCSXSL250405B,21,1050
GO1CSX5NCSXSL250407A,25,1250
GO1CSX5NCSXSL250407B,21,1050
GO1CSX5NCSXSL250409,24,1200
GO1CSX5NCSXSL250410,25,1250
GO1CSX5NCSXSL250411C,27,1350
GO1CSX5NCSXSL250412B,24,1200
GO1CSX5NCSXSL250414,24,1200
GO1CSX5NCSXSL250415,23,1150
GO1CSX5NCSXSL250417BTR,12,600
GO1CSX5NCSXSL250417D,18,900
GO1CSX5NCSXSL250420,24,1200
GO1CSX5NCSXSL250424B,17,850
GO1CSX5NCSXSL250424D,14,700
GO1CSX5NCSXSL250425,24,1200
GO1CSX5NCSXSL250429,23,1150
GO1CSX5NCSXSL250430A,24,1200
GO1CSX5NCSXSL250509,24,1200
GO1CSX5NCSXSL250510A,13,650
GO1CSX5NCSXSL250515,25,1250
GO1CSX5NCSXSL250524D,24,1200
GO1CSX5NCSXSL250530C,24,1200
GO1CSX5NCSXSL250603,15,750
GO1CSX5NCSXSL250604,20,1000
GO1CSX5NCSXSL250613C,17,850
GO1CSX5NCSXSL250628,21,1050
GO1CSX5NCSXSL250724D,15,750
GO1CSX5NCSXSL250728,15,750
GO1CSX5NCSXSL250822,12,600
GO1CSX5NCSXSL250911CTR,26,1300
GO1CSX5NCSXSL250917D,24,1200
GO1CSX5NCSXSL251011C,14,700
GO1CSX5NCSXSL251012D,22,1100
GO1CSX5NCSXSL251016,21,1050
GO1CSX5NCSXSL251016C,9,450
GO1CSX5NCSXSL251017D,24,1200
GO1CSX5NCSXSL251018,24,1200
GO1CSX5NCSXSL251021,19,950
GO1CSX5NCSXSL251022D,24,1200
GO1CSX5NCSXSL251026,27,1350
GO1CSX5NCSXSL251026D,13,650
GO1CSX5NCSXSL251031C,14,700
GO1CSX5NCSXSL251101D,22,1100
GO1CSX5NCSXSL251105D,23,1150
GO1CSX5NCSXSL251106C,24,1200
GO1CSX5NCSXSL251107,20,1000
GO1CSX5NCSXSL251112D,13,650
GO1CSX5NCSXSL251115,23,1150
GO1CSX5NCSXSL251117C,15,750
GO1CSX5NCSXSL251120D,19,950
GO1CSX5NCSXSL251121C,25,1250
GO1CSX5NCSXSL251122D,14,700
GO1CSX5NCSXSL251122Q,17,850
GO1CSX5NCSXSL251126,24,1200
GO1CSX5NCSXSL251126D,19,950
GO1CSX5NCSXSL251201D,14,700
GO1CSX5NCSXSL251205C,15,750
GO1CSX5NCSXSL251206,17,850
GO1CSX5NCSXSL251210,11,550
GO1CSX5NCSXSL251212C,17,850
GO1CSX5NCSXSL251217D,11,550
GO1CSX5NCSXSL251220,22,1100
GO1CSX5NCSXSL251220Q,17,850
GO1CSX5NCSXSL251222,13,650
GO1CSX5NCSXSL251225C,10,500
GO1CSX5NCSXSL251226,24,1200
GO1CSX5NCSXSL251227C,18,900
GO1CSX5NCSXSL251230,19,950
GO1CSX5NCSXSL251231,24,1200
GO1CSX5NCSXVZ250317C,19,950
GO1CSX5NCSXVZ250426C,14,700
GO1CSX5NCSXVZ250517,19,950
GO1CSX5NCSXVZ250522,18,900
GO1DLU3NDLUPN250322,18,900
GO1DLU4NDLUPN250325,14,700
GO1DLU4NDLUPN250401,17,850
GO1DLU4NDLUPN250415,16,800
GO1DLU4NDLUPN250422,17,850
GO1DLU5NDLUPN250327,22,1100
GO1DLU5NDLUPN250403,29,1450
